t,x,x_dot,theta,theta_dot,u
0.151,0.0308857,0.367947,0.121548,-0.31319,1.79946
0.152,0.0312545,0.369627,0.121234,-0.314149,1.79946
0.153,0.031625,0.371307,0.120919,-0.315114,1.79946
0.154,0.0319971,0.372987,0.120604,-0.316087,1.79946
0.155,0.0323709,0.374668,0.120287,-0.317066,1.79946
0.156,0.0327464,0.376349,0.119969,-0.318053,1.79946
0.157,0.0331236,0.37803,0.119651,-0.319046,1.79946
0.158,0.0335025,0.379712,0.119331,-0.320046,1.79946
0.159,0.0338831,0.381394,0.119011,-0.321054,1.79946
0.16,0.0342652,0.38288,0.118689,-0.321679,1.60337
0.161,0.0346488,0.384367,0.118367,-0.322312,1.60337
0.162,0.0350339,0.385854,0.118045,-0.322951,1.60337
0.163,0.0354205,0.387341,0.117722,-0.323598,1.60337
0.164,0.0358086,0.388829,0.117398,-0.324251,1.60337
0.165,0.0361982,0.390317,0.117073,-0.324912,1.60337
0.166,0.0365892,0.391805,0.116748,-0.32558,1.60337
0.167,0.0369818,0.393294,0.116422,-0.326255,1.60337
0.168,0.0373758,0.394783,0.116095,-0.326936,1.60337
0.169,0.0377714,0.396272,0.115768,-0.327626,1.60337
0.17,0.0381684,0.397762,0.11544,-0.328322,1.60337
0.171,0.0385669,0.399252,0.115111,-0.329025,1.60337
0.172,0.0389669,0.400742,0.114782,-0.329736,1.60337
0.173,0.0393684,0.402232,0.114452,-0.330453,1.60337
0.174,0.0397713,0.403723,0.114121,-0.331178,1.60337
0.175,0.0401758,0.405215,0.11379,-0.331911,1.60337
0.176,0.0405818,0.406706,0.113457,-0.33265,1.60337
0.177,0.0409892,0.408198,0.113124,-0.333397,1.60337
0.178,0.0413982,0.40969,0.11279,-0.334151,1.60337
0.179,0.0418086,0.411183,0.112456,-0.334912,1.60337
0.18,0.0422204,0.412489,0.112121,-0.335309,1.41644
0.181,0.0426336,0.413795,0.111785,-0.335714,1.41644
0.182,0.043048,0.415102,0.111449,-0.336126,1.41644
0.183,0.0434638,0.41641,0.111113,-0.336545,1.41644
0.184,0.0438809,0.417717,0.110776,-0.336972,1.41644
0.185,0.0442992,0.419025,0.110439,-0.337406,1.41644
0.186,0.0447189,0.420333,0.110102,-0.337848,1.41644
0.187,0.0451399,0.421642,0.109763,-0.338296,1.41644
0.188,0.0455622,0.42295,0.109425,-0.338752,1.41644
0.189,0.0459858,0.42426,0.109086,-0.339216,1.41644
0.19,0.0464107,0.425569,0.108746,-0.339687,1.41644
0.191,0.0468369,0.426879,0.108407,-0.340165,1.41644
0.192,0.0472645,0.428189,0.108066,-0.34065,1.41644
0.193,0.0476933,0.4295,0.107725,-0.341143,1.41644
0.194,0.0481235,0.430811,0.107384,-0.341644,1.41644
0.195,0.0485549,0.432122,0.107042,-0.342152,1.41644
0.196,0.0489877,0.433433,0.1067,-0.342667,1.41644
0.197,0.0494218,0.434745,0.106357,-0.34319,1.41644
0.198,0.0498572,0.436057,0.106013,-0.34372,1.41644
0.199,0.0502939,0.43737,0.105669,-0.344257,1.41644
0.2,0.0507319,0.438506,0.105325,-0.344452,1.23978
0.201,0.0511709,0.439643,0.10498,-0.344653,1.23978
0.202,0.0516111,0.44078,0.104636,-0.344862,1.23978
0.203,0.0520525,0.441918,0.104291,-0.345079,1.23978
0.204,0.052495,0.443055,0.103945,-0.345303,1.23978
0.205,0.0529386,0.444194,0.1036,-0.345535,1.23978
0.206,0.0533834,0.445332,0.103254,-0.345774,1.23978
0.207,0.0538293,0.446471,0.102908,-0.34602,1.23978
0.208,0.0542763,0.44761,0.102562,-0.346275,1.23978
0.209,0.0547245,0.448749,0.102216,-0.346536,1.23978
0.21,0.0551738,0.449889,0.101869,-0.346805,1.23978
0.211,0.0556243,0.451029,0.101522,-0.347082,1.23978
0.212,0.0560759,0.45217,0.101175,-0.347366,1.23978
0.213,0.0565286,0.453311,0.100827,-0.347658,1.23978
0.214,0.0569825,0.454452,0.10048,-0.347957,1.23978
0.215,0.0574375,0.455593,0.100132,-0.348264,1.23978
0.216,0.0578937,0.456735,0.0997831,-0.348578,1.23978
0.217,0.058351,0.457877,0.0994344,-0.3489,1.23978
0.218,0.0588094,0.45902,0.0990853,-0.34923,1.23978
0.219,0.059269,0.460163,0.0987359,-0.349567,1.23978
0.22,0.0597297,0.46114,0.0983864,-0.349582,1.07409
0.221,0.0601913,0.462118,0.0980368,-0.349605,1.07409
0.222,0.0606539,0.463097,0.0976872,-0.349635,1.07409
0.223,0.0611175,0.464075,0.0973375,-0.349673,1.07409
0.224,0.0615821,0.465054,0.0969878,-0.349719,1.07409
0.225,0.0620476,0.466034,0.0966381,-0.349772,1.07409
0.226,0.0625141,0.467014,0.0962883,-0.349833,1.07409
0.227,0.0629816,0.467994,0.0959384,-0.349901,1.07409
0.228,0.0634501,0.468974,0.0955885,-0.349977,1.07409
0.229,0.0639196,0.469955,0.0952384,-0.35006,1.07409
0.23,0.06439,0.470936,0.0948883,-0.350151,1.07409
0.231,0.0648614,0.471917,0.0945381,-0.35025,1.07409
0.232,0.0653339,0.472899,0.0941878,-0.350356,1.07409
0.233,0.0658072,0.473881,0.0938374,-0.35047,1.07409
0.234,0.0662816,0.474864,0.0934869,-0.350591,1.07409
0.235,0.066757,0.475846,0.0931362,-0.35072,1.07409
0.236,0.0672333,0.47683,0.0927855,-0.350856,1.07409
0.237,0.0677106,0.477813,0.0924345,-0.351001,1.07409
0.238,0.0681889,0.478797,0.0920834,-0.351152,1.07409
0.239,0.0686682,0.479781,0.0917322,-0.351312,1.07409
0.24,0.0691484,0.480611,0.091381,-0.351171,0.919748
0.241,0.0696294,0.481442,0.0910299,-0.351039,0.919748
0.242,0.0701113,0.482273,0.0906789,-0.350914,0.919748
0.243,0.070594,0.483104,0.090328,-0.350796,0.919748
0.244,0.0710775,0.483936,0.0899773,-0.350687,0.919748
0.245,0.0715619,0.484768,0.0896267,-0.350584,0.919748
0.246,0.072047,0.4856,0.0892761,-0.35049,0.919748
0.247,0.0725331,0.486433,0.0889257,-0.350403,0.919748
0.248,0.0730199,0.487266,0.0885753,-0.350323,0.919748
0.249,0.0735076,0.488099,0.088225,-0.350251,0.919748
0.25,0.0739961,0.488933,0.0878748,-0.350187,0.919748
0.251,0.0744855,0.489767,0.0875247,-0.35013,0.919748
0.252,0.0749756,0.490602,0.0871746,-0.350081,0.919748
0.253,0.0754667,0.491436,0.0868245,-0.350039,0.919748
0.254,0.0759585,0.492271,0.0864745,-0.350005,0.919748
0.255,0.0764512,0.493107,0.0861245,-0.349979,0.919748
0.256,0.0769447,0.493943,0.0857745,-0.34996,0.919748
0.257,0.0774391,0.494779,0.0854246,-0.349948,0.919748
0.258,0.0779343,0.495615,0.0850746,-0.349945,0.919748
0.259,0.0784303,0.496452,0.0847247,-0.349948,0.919748
0.26,0.0789271,0.497146,0.0843749,-0.349675,0.776854
0.261,0.0794246,0.497841,0.0840253,-0.34941,0.776854
0.262,0.0799228,0.498536,0.083676,-0.349152,0.776854
0.263,0.0804217,0.499231,0.083327,-0.348901,0.776854
0.264,0.0809213,0.499927,0.0829782,-0.348658,0.776854
0.265,0.0814215,0.500623,0.0826297,-0.348422,0.776854
0.266,0.0819225,0.501319,0.0822814,-0.348195,0.776854
0.267,0.0824242,0.502016,0.0819333,-0.347974,0.776854
0.268,0.0829265,0.502713,0.0815854,-0.347761,0.776854
0.269,0.0834296,0.50341,0.0812378,-0.347556,0.776854
0.27,0.0839334,0.504108,0.0808903,-0.347358,0.776854
0.271,0.0844378,0.504806,0.0805431,-0.347167,0.776854
0.272,0.084943,0.505505,0.080196,-0.346985,0.776854
0.273,0.0854488,0.506203,0.0798491,-0.346809,0.776854
0.274,0.0859554,0.506902,0.0795024,-0.346641,0.776854
0.275,0.0864626,0.507602,0.0791558,-0.346481,0.776854
0.276,0.0869706,0.508301,0.0788094,-0.346328,0.776854
0.277,0.0874792,0.509002,0.0784631,-0.346183,0.776854
0.278,0.0879886,0.509702,0.078117,-0.346045,0.776854
0.279,0.0884986,0.510403,0.077771,-0.345914,0.776854
0.28,0.0890093,0.510972,0.0774253,-0.345529,0.645293
0.281,0.0895206,0.511542,0.07708,-0.345151,0.645293
0.282,0.0900324,0.512112,0.076735,-0.344781,0.645293
0.283,0.0905448,0.512683,0.0763904,-0.344418,0.645293
0.284,0.0910578,0.513254,0.0760462,-0.344063,0.645293
0.285,0.0915713,0.513825,0.0757023,-0.343715,0.645293
0.286,0.0920854,0.514397,0.0753588,-0.343374,0.645293
0.287,0.0926001,0.514969,0.0750155,-0.343041,0.645293
0.288,0.0931154,0.515541,0.0746727,-0.342715,0.645293
0.289,0.0936312,0.516114,0.0743301,-0.342397,0.645293
0.29,0.0941476,0.516687,0.0739879,-0.342086,0.645293
0.291,0.0946646,0.51726,0.0736459,-0.341782,0.645293
0.292,0.0951821,0.517833,0.0733043,-0.341486,0.645293
0.293,0.0957002,0.518407,0.072963,-0.341197,0.645293
0.294,0.0962189,0.518982,0.0726219,-0.340916,0.645293
0.295,0.0967382,0.519556,0.0722811,-0.340642,0.645293
0.296,0.097258,0.520131,0.0719406,-0.340375,0.645293
0.297,0.0977785,0.520706,0.0716004,-0.340116,0.645293
0.298,0.0982995,0.521282,0.0712604,-0.339864,0.645293
0.299,0.098821,0.521858,0.0709206,-0.339619,0.645293
0.3,0.0993431,0.522314,0.0705813,-0.339141,0.524773
0.301,0.0998657,0.52277,0.0702424,-0.338671,0.524773
0.302,0.100389,0.523226,0.0699039,-0.338208,0.524773
0.303,0.100912,0.523683,0.0695659,-0.337752,0.524773
0.304,0.101436,0.52414,0.0692284,-0.337303,0.524773
0.305,0.10196,0.524597,0.0688913,-0.336862,0.524773
0.306,0.102485,0.525055,0.0685547,-0.336428,0.524773
0.307,0.103011,0.525513,0.0682185,-0.336001,0.524773
0.308,0.103536,0.525972,0.0678827,-0.335582,0.524773
0.309,0.104062,0.52643,0.0675473,-0.33517,0.524773
0.31,0.104589,0.526889,0.0672123,-0.334765,0.524773
0.311,0.105116,0.527349,0.0668778,-0.334367,0.524773
0.312,0.105644,0.527808,0.0665436,-0.333976,0.524773
0.313,0.106172,0.528268,0.0662098,-0.333593,0.524773
0.314,0.1067,0.528729,0.0658764,-0.333217,0.524773
0.315,0.107229,0.529189,0.0655434,-0.332848,0.524773
0.316,0.107759,0.52965,0.0652107,-0.332486,0.524773
0.317,0.108289,0.530112,0.0648784,-0.332132,0.524773
0.318,0.108819,0.530573,0.0645465,-0.331784,0.524773
0.319,0.10935,0.531035,0.0642148,-0.331444,0.524773
0.32,0.109881,0.531388,0.0638837,-0.330891,0.414869
0.321,0.110413,0.531741,0.0635531,-0.330346,0.414869
0.322,0.110944,0.532094,0.063223,-0.329808,0.414869
0.323,0.111477,0.532447,0.0628934,-0.329277,0.414869
0.324,0.112009,0.532801,0.0625644,-0.328753,0.414869
0.325,0.112542,0.533155,0.0622359,-0.328236,0.414869
0.326,0.113076,0.533509,0.061908,-0.327726,0.414869
0.327,0.113609,0.533864,0.0615805,-0.327224,0.414869
0.328,0.114143,0.534219,0.0612535,-0.326728,0.414869
0.329,0.114678,0.534574,0.060927,-0.326239,0.414869
0.33,0.115213,0.534929,0.060601,-0.325758,0.414869
0.331,0.115748,0.535285,0.0602755,-0.325283,0.414869
0.332,0.116283,0.535642,0.0599505,-0.324816,0.414869
0.333,0.116819,0.535998,0.0596259,-0.324355,0.414869
0.334,0.117355,0.536355,0.0593017,-0.323902,0.414869
0.335,0.117892,0.536712,0.0589781,-0.323455,0.414869
0.336,0.118429,0.53707,0.0586548,-0.323016,0.414869
0.337,0.118966,0.537427,0.058332,-0.322583,0.414869
0.338,0.119503,0.537786,0.0580097,-0.322157,0.414869
0.339,0.120041,0.538144,0.0576877,-0.321739,0.414869
0.34,0.12058,0.538403,0.0573663,-0.321128,0.31506
0.341,0.121118,0.538662,0.0570455,-0.320524,0.31506
0.342,0.121657,0.538922,0.0567252,-0.319926,0.31506
0.343,0.122196,0.539182,0.0564056,-0.319336,0.31506
0.344,0.122735,0.539442,0.0560866,-0.318753,0.31506
0.345,0.123275,0.539702,0.0557681,-0.318176,0.31506
0.346,0.123815,0.539963,0.0554502,-0.317607,0.31506
0.347,0.124355,0.540224,0.0551329,-0.317044,0.31506
0.348,0.124895,0.540486,0.0548161,-0.316488,0.31506
0.349,0.125436,0.540748,0.0544999,-0.315939,0.31506
0.35,0.125977,0.54101,0.0541842,-0.315396,0.31506
0.351,0.126518,0.541272,0.0538691,-0.314861,0.31506
0.352,0.127059,0.541535,0.0535545,-0.314332,0.31506
0.353,0.127601,0.541798,0.0532404,-0.31381,0.31506
0.354,0.128143,0.542061,0.0529269,-0.313295,0.31506
0.355,0.128685,0.542324,0.0526138,-0.312786,0.31506
0.356,0.129227,0.542588,0.0523013,-0.312285,0.31506
0.357,0.12977,0.542852,0.0519893,-0.31179,0.31506
0.358,0.130313,0.543117,0.0516777,-0.311301,0.31506
0.359,0.130856,0.543382,0.0513667,-0.31082,0.31506
0.36,0.1314,0.543557,0.0510562,-0.310165,0.224761
0.361,0.131943,0.543732,0.0507463,-0.309516,0.224761
0.362,0.132487,0.543907,0.0504371,-0.308874,0.224761
0.363,0.133031,0.544083,0.0501286,-0.308239,0.224761
0.364,0.133575,0.544259,0.0498207,-0.307611,0.224761
0.365,0.13412,0.544435,0.0495134,-0.306989,0.224761
0.366,0.134664,0.544612,0.0492067,-0.306374,0.224761
0.367,0.135209,0.544789,0.0489006,-0.305765,0.224761
0.368,0.135754,0.544966,0.0485951,-0.305163,0.224761
0.369,0.136299,0.545143,0.0482903,-0.304567,0.224761
0.37,0.136844,0.545321,0.047986,-0.303978,0.224761
0.371,0.13739,0.545499,0.0476823,-0.303396,0.224761
0.372,0.137935,0.545678,0.0473792,-0.30282,0.224761
0.373,0.138481,0.545856,0.0470767,-0.302251,0.224761
0.374,0.139027,0.546035,0.0467747,-0.301688,0.224761
0.375,0.139573,0.546214,0.0464733,-0.301132,0.224761
0.376,0.140119,0.546394,0.0461724,-0.300582,0.224761
0.377,0.140666,0.546574,0.0458721,-0.300039,0.224761
0.378,0.141213,0.546754,0.0455724,-0.299502,0.224761
0.379,0.141759,0.546934,0.0452731,-0.298971,0.224761
0.38,0.142306,0.547034,0.0449745,-0.298285,0.143343
0.381,0.142853,0.547133,0.0446766,-0.297605,0.143343
0.382,0.143401,0.547233,0.0443793,-0.296931,0.143343
0.383,0.143948,0.547333,0.0440827,-0.296264,0.143343
0.384,0.144495,0.547434,0.0437868,-0.295603,0.143343
0.385,0.145043,0.547535,0.0434915,-0.294948,0.143343
0.386,0.14559,0.547636,0.0431969,-0.2943,0.143343
0.387,0.146138,0.547737,0.0429029,-0.293658,0.143343
0.388,0.146686,0.547839,0.0426095,-0.293022,0.143343
0.389,0.147234,0.547941,0.0423168,-0.292393,0.143343
0.39,0.147782,0.548043,0.0420248,-0.29177,0.143343
0.391,0.14833,0.548145,0.0417333,-0.291153,0.143343
0.392,0.148878,0.548248,0.0414424,-0.290543,0.143343
0.393,0.149426,0.548351,0.0411522,-0.289939,0.143343
0.394,0.149975,0.548454,0.0408626,-0.289341,0.143343
0.395,0.150523,0.548558,0.0405735,-0.288749,0.143343
0.396,0.151072,0.548662,0.0402851,-0.288164,0.143343
0.397,0.151621,0.548766,0.0399972,-0.287585,0.143343
0.398,0.152169,0.54887,0.0397099,-0.287012,0.143343
0.399,0.152718,0.548975,0.0394232,-0.286445,0.143343
0.4,0.153267,0.549007,0.0391371,-0.285738,0.0701611
0.401,0.153816,0.549039,0.0388517,-0.285037,0.0701611
0.402,0.154365,0.549071,0.038567,-0.284343,0.0701611
0.403,0.154914,0.549104,0.038283,-0.283654,0.0701611
0.404,0.155464,0.549137,0.0379997,-0.282972,0.0701611
0.405,0.156013,0.54917,0.0377171,-0.282296,0.0701611
0.406,0.156562,0.549204,0.0374351,-0.281625,0.0701611
0.407,0.157111,0.549237,0.0371538,-0.280961,0.0701611
0.408,0.15766,0.549271,0.0368732,-0.280303,0.0701611
0.409,0.15821,0.549306,0.0365932,-0.279651,0.0701611
0.41,0.158759,0.54934,0.0363139,-0.279005,0.0701611
0.411,0.159308,0.549375,0.0360352,-0.278365,0.0701611
0.412,0.159858,0.54941,0.0357571,-0.277731,0.0701611
0.413,0.160407,0.549446,0.0354797,-0.277104,0.0701611
0.414,0.160957,0.549481,0.0352029,-0.276482,0.0701611
0.415,0.161506,0.549517,0.0349268,-0.275865,0.0701611
0.416,0.162056,0.549553,0.0346512,-0.275255,0.0701611
0.417,0.162605,0.54959,0.0343762,-0.274651,0.0701611
0.418,0.163155,0.549627,0.0341019,-0.274053,0.0701611
0.419,0.163704,0.549664,0.0338281,-0.273461,0.0701611
0.42,0.164254,0.549635,0.033555,-0.272743,0.00456573
0.421,0.164804,0.549607,0.0332826,-0.272032,0.00456573
